School,SIS ID,Class,Test 1 Num Correct,Test 1 Num Correct,Test 2 Num Correct,Test 2 Num Incorrect,Test 3 Num Correct,Test 3 Num Incorrect,PAT Reading 2022,PAT Reading 2022 Band,PAT Maths 2022,PAT Maths 2022 Band,PAT Reading 2021,PAT Reading 2021 Band,PAT Maths 2021,PAT Maths 2021 Band,NAPLAN 2023 Reading Score,NAPLAN 2023 Reading Proficiency,NAPLAN 2023 Writing Score,NAPLAN 2023 Writing Proficiency,NAPLAN 2023 Grammar and Punctuation Score,NAPLAN 2023 Grammar and Punctuation Proficiency,NAPLAN 2023 Spelling Score,NAPLAN 2023 Spelling Proficiency,NAPLAN 2023 Numeracy Score,NAPLAN 2023 Numeracy Proficiency,NAPLAN 2021 Reading Score,NAPLAN 2021 Reading Band,NAPLAN 2021 Writing Score,NAPLAN 2021 Writing Band,NAPLAN 2021 Grammar and Punctuation Score,NAPLAN 2021 Grammar and Punctuation Band,NAPLAN 2021 Spelling Score,NAPLAN 2021 Spelling Band,NAPLAN 2021 Numeracy Score,NAPLAN 2021 Numeracy Band
A,112752842,7ENGH,18,1,13,0,23,0,123.5,120-129,119.6,115-124,121.5,120-129,115.6,115-124,441.4,Developing,520.8,Strong,502.9,Developing,545.8,Strong,503,Strong,474.273,Band 5,497.4,Band 6,466.369,Band 5,476.635,Band 5,457.329,Band 5
A,822142001,7ENGH,23,2,26,2,35,1,126.4,120-129,135.2,125-134,123.5,120-129,118.3,115-124,496.5,Developing,534.2,Strong,464.6,Developing,527.6,Strong,520.2,Strong,520.829,Band 6,510,Band 6,525.204,Band 6,491.055,Band 6,452.437,Band 5
A,513557176,7ENGH,,,,,19,1,101.9,100-109,107.2,95-104,119.5,110-119,109.2,115-124,NULL,UNKNOWN,534.2,Strong,496.2,Developing,457.8,Developing,425.9,Needs additional support,479.404,Band 6,471.6,Band 5,430.689,Band 5,423.88,Band 4,413.774,Band 4
A,862162536,7ENGH,13,3,,,12,3,,,,,,,,,339,Needs additional support,347,Needs additional support,382.2,Needs additional support,336.9,Needs additional support,402.6,Needs additional support,,,,,,,,,,
A,585666134,7ENGH,14,2,20,0,21,0,127.8,120-129,131.3,125-134,121.5,120-129,117,115-124,482.4,Developing,506.7,Developing,457.6,Developing,556.5,Strong,513.8,Strong,472.314,Band 5,510,Band 6,495.377,Band 6,612.32,Band 8,502.405,Band 6
A,454903387,7ENGH,28,6,34,41,47,30,115.6,110-119,108.4,115-124,102.3,100-109,105.5,95-104,445.4,Developing,534.2,Strong,454.5,Developing,494.5,Developing,440.5,Developing,422.944,Band 4,444.8,Band 5,405.774,Band 4,476.452,Band 5,360.821,Band 3
A,662055176,7ENGH,27,1,23,3,30,2,116.7,110-119,119.3,115-124,111.6,110-119,100.1,105-114,432.5,Developing,534.2,Strong,447.3,Developing,568.3,Strong,404.3,Needs additional support,445.031,Band 5,534.9,Band 7,331.801,Band 3,503.894,Band 6,365.057,Band 3
A,196355883,7ENGH,,,21,3,23,2,,,,,,,,,471.7,Developing,572.7,Strong,493.4,Developing,534.2,Strong,432.3,Developing,,,,,,,,,,
A,155889135,7ENGH,30,1,25,1,28,0,,,,,,,,,481.6,Developing,585.8,Strong,518.2,Strong,475,Developing,514.3,Strong,,,,,,,,,,
A,874039934,7ENGH,18,1,23,0,31,0,133.5,130-139,128.8,125-134,123.5,120-129,118.3,115-124,509.1,Strong,547.1,Strong,476.8,Developing,553.5,Strong,525.4,Strong,472.809,Band 5,471.6,Band 5,421.845,Band 4,482.63,Band 6,480.16,Band 6
